Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Girls,aespa,Girls - The 2nd Mini Album,4w1dbvUy1crv0knXQvcSeY,2WTHLEVjfefbGoW7F3dXIg,69,2022-07-08,240440,False,https://open.spotify.com/track/2WTHLEVjfefbGoW7F3dXIg,0.57,0.974,3,-0.173,0,0.325,0.115,0.000594,0.125,0.65,171.958
Illusion,aespa,Girls - The 2nd Mini Album,4w1dbvUy1crv0knXQvcSeY,396FqjKmViUZ92Wmm4rx3i,69,2022-07-08,195053,False,https://open.spotify.com/track/396FqjKmViUZ92Wmm4rx3i,0.75,0.718,2,-2.817,0,0.0468,0.0814,1.75e-05,0.322,0.592,90.027
Lingo,aespa,Girls - The 2nd Mini Album,4w1dbvUy1crv0knXQvcSeY,3tB10LUdisNWISpLw5gPCk,53,2022-07-08,156867,False,https://open.spotify.com/track/3tB10LUdisNWISpLw5gPCk,0.763,0.886,7,-1.365,1,0.0931,0.116,0.000796,0.145,0.771,96.011
Life's Too Short,aespa,Girls - The 2nd Mini Album,4w1dbvUy1crv0knXQvcSeY,1uIN3VCVKzMXqF2A2Qlw5q,52,2022-07-08,178133,False,https://open.spotify.com/track/1uIN3VCVKzMXqF2A2Qlw5q,0.488,0.797,0,-3.217,1,0.0986,0.376,0.0,0.149,0.535,83.311
ICU,aespa,Girls - The 2nd Mini Album,4w1dbvUy1crv0knXQvcSeY,11JpW4h96X4TlGt6LFpNCC,53,2022-07-08,221640,False,https://open.spotify.com/track/11JpW4h96X4TlGt6LFpNCC,0.677,0.641,4,-3.607,1,0.0411,0.536,0.0,0.365,0.417,101.841
Life's Too Short (English Version),aespa,Girls - The 2nd Mini Album,4w1dbvUy1crv0knXQvcSeY,2ouguQxJZn4jXisuNREqe5,55,2022-07-08,178133,False,https://open.spotify.com/track/2ouguQxJZn4jXisuNREqe5,0.472,0.8,0,-3.681,1,0.265,0.289,0.0,0.149,0.548,72.203
Black Mamba,aespa,Girls - The 2nd Mini Album,4w1dbvUy1crv0knXQvcSeY,6Tj9KfzPp7tmgcDdsaPwGE,68,2022-07-08,174933,False,https://open.spotify.com/track/6Tj9KfzPp7tmgcDdsaPwGE,0.612,0.912,2,-2.853,1,0.0796,0.064,0.000799,0.0843,0.472,90.006
Forever,aespa,Girls - The 2nd Mini Album,4w1dbvUy1crv0knXQvcSeY,6kCHPE4E6nVg3KxZdlifnE,47,2022-07-08,298173,False,https://open.spotify.com/track/6kCHPE4E6nVg3KxZdlifnE,0.363,0.73,8,-3.794,1,0.0441,0.365,0.0,0.305,0.291,184.07
Dreams Come True,aespa,Girls - The 2nd Mini Album,4w1dbvUy1crv0knXQvcSeY,2GyZkPeiJXXBqYY1ddtsjk,61,2022-07-08,204933,False,https://open.spotify.com/track/2GyZkPeiJXXBqYY1ddtsjk,0.684,0.912,0,-0.205,1,0.0639,0.0762,0.0,0.304,0.556,98.992
Beautiful Christmas,"Red Velvet, aespa",Beautiful Christmas,1oniugll0x2gZ3l7o4z9iG,3k7FTBQkstaBcYHamx9jqe,59,2022-12-14,209800,False,https://open.spotify.com/track/3k7FTBQkstaBcYHamx9jqe,0.719,0.792,1,-2.549,1,0.0311,0.0365,0.0,0.33,0.727,109.98
Hold On Tight,aespa,Hold On Tight,4bWGRs1SqNwFXaRDXRAANN,1o844wI52S3TjXGBwvGcc7,73,2023-03-30,149719,False,https://open.spotify.com/track/1o844wI52S3TjXGBwvGcc7,0.586,0.816,7,-6.331,1,0.283,0.0911,2.81e-06,0.235,0.265,119.8
Welcome To MY World (feat. nævis),"aespa, nævis",MY WORLD - The 3rd Mini Album,69xF8jTd0c4Zoo7DT3Rwrn,3q5qpprtugUIEPExuI7tRD,57,2023-05-08,206920,False,https://open.spotify.com/track/3q5qpprtugUIEPExuI7tRD,0.598,0.836,7,-1.694,1,0.0304,0.185,0.0,0.292,0.37,152.009
Spicy,aespa,MY WORLD - The 3rd Mini Album,69xF8jTd0c4Zoo7DT3Rwrn,1ULdASrNy5rurl1TZfFaMP,74,2023-05-08,197040,False,https://open.spotify.com/track/1ULdASrNy5rurl1TZfFaMP,0.757,0.898,11,-1.247,0,0.0667,0.0138,0.0,0.0703,0.842,114.949
Salty & Sweet,aespa,MY WORLD - The 3rd Mini Album,69xF8jTd0c4Zoo7DT3Rwrn,4wQDjZtXjsFtU3BLSiIH4t,64,2023-05-08,201760,False,https://open.spotify.com/track/4wQDjZtXjsFtU3BLSiIH4t,0.796,0.636,10,-5.404,0,0.0414,0.0734,9.84e-05,0.126,0.582,102.979
